objectname,RA,DEC,prob,period,comper,Type,SNR1,SNR2,sector
TIC 311235572,253.988108669221,68.2000893356291,1.0,0.6192168963242711,0.3096084481621355,EW,12.668219488579137,50.97509144021714,"[40, 47, 48, 49, 50]"
TIC 429973546,96.0032147619053,20.4702535808924,1.0,0.3505423667649179,0.1752711833824589,EW,27.69804424925944,112.73283655392451,"[43, 44, 45]"
TIC 220416446,71.195286,-54.45063,1.0,0.3096590164435744,0.1548295082217872,EW,4.8394046075895565,39.642802412588274,"[3, 4, 5, 6]"
TIC 116484192,233.020085709704,45.5687299452166,1.0,0.2763626073365245,0.1381813036682622,EW,7.026906419101199,23.969401294855714,"[23, 24, 50]"
TIC 241393039,24.3884912813255,-2.14021258415641,1.0,0.3713841776314693,0.1856920888157346,EW,11.246258257688153,63.576308365499145,[3]
TIC 436660156,72.9117334356653,13.380997410449,1.0,0.414823969272885,0.2074119846364425,EW,22.673461606845983,37.11864313972181,"[5, 43, 44]"
TIC 368208585,264.937487410857,17.978578200483,1.0,0.2756067403019807,0.1378033701509903,EW,3.197353214406292,18.915168496045883,[26]
TIC 315287999,347.510730428054,59.2017073828103,1.0,1.7571209989408278,0.8785604994704139,EA,2.507013381847746,9.010464084597592,"[17, 24]"
TIC 193819456,268.864409822567,44.1152293300147,1.0,0.3501139807022312,0.1750569903511156,EW,7.7754831626651235,40.869436362586754,"[25, 26]"
TIC 126659093,315.146648996256,-42.6556387935094,1.0,0.0671811883228502,0.0671811883228502,DSCT,30.75703321474661,23.36818293514301,"[1, 27]"
TIC 270215222,262.013836606605,43.6899761260541,1.0,0.4156570382833706,0.2078285191416853,EW,18.341445124636923,38.0203964125869,"[25, 26]"
TIC 64951042,339.0671983657,57.0356129994742,1.0,4.214235802199224,4.214235802199224,CEP,11.364247444671378,12.158100382539454,"[16, 17, 24]"
TIC 71266846,113.422508448437,67.5376676798878,1.0,0.1336723037053389,0.1336723037053389,EA,2.003546349571955,2.123649598132445,"[20, 47]"
TIC 229461186,295.102629858108,60.9202745757044,1.0,0.4023295128324067,0.2011647564162033,EW,4.525944244557365,49.11752456008343,"[14, 15, 16, 17, 18, 20, 21, 23, 40, 41, 47, 48, 50]"
TIC 233207585,266.001391556488,70.2588382971246,1.0,0.3080957796890275,0.1540478898445137,EW,5.067598845234984,62.01346366863837,"[14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 41, 48, 49]"
TIC 288634427,278.967182122449,78.9653024166089,1.0,7.264354098989848,7.264354098989848,ROT,3.403620463015849,1.9859447614898,[40]
TIC 21829304,256.808147383586,32.2964754813897,1.0,2.2555725309507726,1.1277862654753863,EA,2.2378955992440246,6.853065816108869,"[25, 26]"
TIC 38907808,69.448216104554,-65.2761189467694,1.0,0.2761916496764029,0.1380958248382014,EW,5.410187434708851,33.471110253053624,"[27, 28, 29, 30, 31, 32, 33, 34, 35, 37, 38]"
TIC 353565609,36.1087113392764,71.3851344659023,1.0,0.3803128056058474,0.1901564028029237,EW,13.282795026995831,40.89509524876316,"[18, 19, 25]"
TIC 68750679,74.3768647162997,20.2398108413002,1.0,1.45276793065153,1.45276793065153,ROT,9.395408857604307,11.072503251490463,"[43, 44]"
TIC 219176881,91.486747472621,-53.7144291121973,1.0,0.4638158181344242,0.2319079090672121,EW,17.077717024781954,41.26614885069914,"[4, 5]"
TIC 193823999,268.899343090861,43.805596756212,1.0,0.3699049373848959,0.1849524686924479,EW,13.94785008189974,37.936605283418864,"[25, 26]"
TIC 231629787,317.179598120002,-56.6181012701602,1.0,0.2664622618196953,0.1332311309098476,EW,4.906707349945794,7.749593439910068,"[1, 27]"
TIC 350716073,88.323344,-56.486022,1.0,0.3928970005644304,0.1964485002822152,EW,6.286113612055796,34.93633260102182,[9]
TIC 5011919,161.203516813474,33.353313478311,1.0,1.3576638549178477,0.6788319274589238,EA,30.255168829210763,49.155605959098,[48]
